음식점명,음식 종류,주소,전화번호,위도,경도
강의리추어탕,한식,광주광역시 북구 우치로 61 (중흥동),062-527-0937,35.1728599,126.9119145
강촌,기타,광주광역시 서구 마륵복개로 152-3 (치평동),062-374-3579,35.1467984,126.8535489
광신보리밥집,기타,광주광역시 북구 두리봉길 2-1 (두암동),062-264-1811,35.1759007,126.9314722
광주밥집,기타,광주광역시 서구 상무화원로11번길 8 (치평동),062-376-0050,35.1452425,126.8417868
금다연한정식,한식,광주광역시 서구 상무연하로 72 (치평동) ,0507-1444-1001,35.1546501,126.8504905
김강심칼국수,한식,광주광역시 서구 회재로 841 (매월동),0507-1423-0804,35.1193476,126.8578299
김명화서리태콩국수,한식,광주광역시 남구 천변좌로338번길 16 (구동),0507-1386-3232,35.1485721,126.9088003
깐깐한족발,한식,광주광역시 광산구 천단중앙로116번길 46 (월계동),062-973-2292,,
꽃담,기타,광주광역시 광산구 첨단과기로 109 (비아동),062-974-0001,35.2241941,126.837472
낙지마을,한식,광주광역시 서구 상무민주로6번길 36 (쌍촌동),062-382-0799,35.1516993,126.8623885
남가정,기타,광주광역시 동구 지호로 137-7 (지산2동),062-227-4114,35.1496886,126.943905
남해가든,기타,광주광역시 남구 봉선로133번길 23 (봉선동),062-671-8348,35.1251625,126.9096009
달맞이흑두부,한식,광주광역시 광산구 북문대로 500-17 (신창동),0507-1337-8465,35.2007733,126.843138
돌담게장백반,기타,광주광역시 북구 금곡한고샅길 4 (금곡동),062-265-1183,35.1699805,126.999122
뜨락,기타,광주광역시 남구 화산로 105 (진월동),062-672-700,35.114858,126.9076029
마천루,기타,광주광역시 서구 월드컵4강로 236 2층 (쌍촌동),0507-1419-8018,35.1573179,126.8694422
명화식육식당,기타,광주광역시 광산구 평동로 421 (명화동),062-943-7760,35.1229802,126.7224219
미미원,기타,광주광역시 동구 백서로 218 (동명동),062-228-3101,35.1470507,126.9265482
민속촌신가점,기타,광주광역시 광산구 목련로394번길 10-17 (신가동),0507-1498-3427,35.1830642,126.8333139
바칼,특별한 술집,광주광역시 광산구 신창로138번길 31-5 (신창동),062-959-5000,35.1964795,126.8405457
백년미가,기타,광주광역시 서구 유덕로28번길 18 (유촌동),0507-1448-3392,35.165468,126.8529816
상무옥숯불갈비,한식,광주광역시 서구 서로 181 (마륵동),062-954-7777,,
상무초밥상무점,일식,"광주광역시 서구 운천로 253, 102호 (치평동)",0507-1427-9201,35.1549796,126.8543981
샤브향수완점,기타,광주광역시 광산구 왕버들로 217 (수완동),0507-1445-8823,35.1986095,126.8339295
석암돌솥밥,기타,광주광역시 북구 대천로139번길 8-1 (문흥동),062-262-2222,35.1871894,126.9204681
송정떡갈비,한식,광주광역시 광산구 광산로29번길 1 (송정2동),062-944-1439,35.1389233,126.7948447
어반브룩,기타,광주광역시 남구 임암길 181 (임암동),062-674-0100,35.1019485,126.8667452
영빈관,기타,광주광역시 서구 풍암순환로128번길 75 (풍암동),062-384-6000,35.1286935,126.8852634
옛날에금잔디,기타,광주광역시 광산구 도산로9번길 54 (도산동),0507-1331-5316,35.1273469,126.7895444
오사카츠(구 구산가든),일식,"광주광역시 남구 압촌길 54-5, 1층 (압촌동)",,35.0908611,126.8389288
오얏리돌솥밥,기타,광주광역시 북구 밤실로 178 (두암동),062-267-8500,35.1633482,126.9345552
옥과한우촌,한식,광주광역시 서구 내방로 39-1 1층 (치평동),0507-1332-1592,35.1595935,126.8450702
옥천면옥,기타,광주광역시 북구 무등로 144 (신안동),062-528-3888,35.1663647,126.8994806
임가네,기타,"광주광역시 광산구 사암로130번길 65, 1층 (우산동)",062-941-5705,35.1560035,126.8109199
자연능이버섯백숙상무본점,기타,광주광역시 서구 서로 175 (마륵동),062-464-3636,,
조선옥,기타,광주광역시 남구 효덕로 105 (노대동),0507-1332-3322,35.0964459,126.9073082
첨단공원국밥,한식,광주광역시 광산구 첨단중앙로182번길 24-12 1층 (쌍암동),0507-1354-6848,35.2208428,126.8437263
최다연샤브샤브,기타,광주광역시 서구 풍암1로21번길 3-16 (풍암동),0507-1317-7555,35.1262141,126.8784141
테이트모던,기타,광주광역시 서구 상무대로673번길 24  (마륵동),0507-1381-0895,35.1439809,126.838126
하남낙지마당,한식,광주광역시 광산구 사암로216번길 10-13 (우산동),0507-1457-8893,35.1626812,126.8093494
한우사랑,한식,광주광역시 남구 효덕로 150 (노대동),062-674-3292 ,35.1001568,126.9047095
함평한우촌,한식,광주광역시 광산구 임방울대로801번길 37 1층 (쌍암동),062-972-9234,35.2198402,126.8458001
해남성내식당,기타,광주광역시 남구 봉선로 21 JM빌딩 2층 (봉선동),062-672-5123,35.1312876,126.9033081
해동활어,기타,광주광역시 서구 상무대로 653-1 (마륵동),062-515-3344,35.1418802,126.8362058
행복한밥상,기타,광주광역시 서구 내방로246번길 17 (쌍촌동),062-383-5295,35.1566704,126.8689249
행복한임금님 수완점,기타,광주광역시 광산구 왕버들로 113-2 (수완동),062-267-9292,35.2019235,126.8239601
형제송정떡갈비,한식,광주광역시 광산구 광산로29번길 3 1층-2층 (송정동),062-944-0595,35.1390536,126.7946605
화정떡갈비,한식,광주광역시 광산구 광산로29번길 6 (송정2동),062-944-1275,35.1392664,126.7949421
황토길,기타,광주광역시 동구 동명로26번길 5-1 (동명동),0507-1393-1552,35.1514085,126.9244202
회뜨는마을,기타,광주광역시 서구 금화로73번길 6-10 (금호동),0507-1411-8317,35.1327991,126.8573367
